"Code","Year","Political.Regime","Human.Rights.Score..Schnakenberg...Fariss..2014..Fariss..2019.","Entity"
"CIV",1995,1,-0.675817654,"Cote d'Ivoire"
"CIV",1996,1,-0.701719485,"Cote d'Ivoire"
"CIV",1997,1,-0.663610348,"Cote d'Ivoire"
"CIV",1998,1,-0.729374188,"Cote d'Ivoire"
"CIV",1999,1,-0.852496482,"Cote d'Ivoire"
"CIV",2000,1,-1.251184258,"Cote d'Ivoire"
"CIV",2001,1,-1.245006827,"Cote d'Ivoire"
"CIV",2002,1,-1.534904282,"Cote d'Ivoire"
"CIV",2003,1,-1.66568007,"Cote d'Ivoire"
"CIV",2004,1,-1.734337928,"Cote d'Ivoire"
"CIV",2005,1,-1.58893263,"Cote d'Ivoire"
"CIV",2006,1,-1.475146354,"Cote d'Ivoire"
"CIV",2007,1,-1.344141895,"Cote d'Ivoire"
"CIV",2008,1,-1.236374707,"Cote d'Ivoire"
"CIV",2009,1,-1.25374805,"Cote d'Ivoire"
"CIV",2010,1,-1.444593167,"Cote d'Ivoire"
"CIV",2011,1,-1.571009861,"Cote d'Ivoire"
"CIV",2012,2,-1.344053316,"Cote d'Ivoire"
"CIV",2013,2,-0.774052368,"Cote d'Ivoire"
"CIV",2014,1,-0.599046834,"Cote d'Ivoire"
"CIV",2015,1,-0.517724525,"Cote d'Ivoire"
"CIV",2016,2,-0.465717291,"Cote d'Ivoire"
"CIV",2017,2,-0.439045513,"Cote d'Ivoire"
"CIV",2018,2,NA,"Cote d'Ivoire"
"CMR",1995,1,-1.148209313,"Cameroon"
"CMR",1996,1,-1.09125885,"Cameroon"
"CMR",1997,1,-1.117856109,"Cameroon"
"CMR",1998,1,-1.260625254,"Cameroon"
"CMR",1999,1,-1.403545077,"Cameroon"
"CMR",2000,1,-1.422664881,"Cameroon"
"CMR",2001,1,-1.226126738,"Cameroon"
"CMR",2002,1,-1.177904867,"Cameroon"
"CMR",2003,1,-1.111268673,"Cameroon"
"CMR",2004,1,-0.986804645,"Cameroon"
"CMR",2005,1,-0.904960901,"Cameroon"
"CMR",2006,1,-0.826715587,"Cameroon"
"CMR",2007,1,-0.702276558,"Cameroon"
"CMR",2008,1,-0.748943429,"Cameroon"
"CMR",2009,1,-0.390286258,"Cameroon"
"CMR",2010,1,-0.294067377,"Cameroon"
"CMR",2011,1,-0.264742421,"Cameroon"
"CMR",2012,1,-0.302137538,"Cameroon"
"CMR",2013,1,-0.468650613,"Cameroon"
"CMR",2014,1,-0.658785859,"Cameroon"
"CMR",2015,1,-0.750316863,"Cameroon"
"CMR",2016,1,-0.837518006,"Cameroon"
"CMR",2017,1,-0.931839823,"Cameroon"
"CMR",2018,1,NA,"Cameroon"
"COD",1995,0,-2.214667144,"Democratic Republic of Congo"
"COD",1996,0,-2.345980995,"Democratic Republic of Congo"
"COD",1997,0,-2.471831659,"Democratic Republic of Congo"
"COD",1998,0,-2.506452659,"Democratic Republic of Congo"
"COD",1999,0,-2.52781966,"Democratic Republic of Congo"
"COD",2000,0,-2.531817086,"Democratic Republic of Congo"
"COD",2001,0,-2.489438584,"Democratic Republic of Congo"
"COD",2002,0,-2.529337305,"Democratic Republic of Congo"
"COD",2003,0,-2.533715323,"Democratic Republic of Congo"
"COD",2004,0,-2.502514608,"Democratic Republic of Congo"
"COD",2005,0,-2.356517166,"Democratic Republic of Congo"
"COD",2006,1,-2.375739973,"Democratic Republic of Congo"
"COD",2007,1,-2.456370319,"Democratic Republic of Congo"
"COD",2008,1,-2.458626851,"Democratic Republic of Congo"
"COD",2009,1,-2.439256509,"Democratic Republic of Congo"
"COD",2010,1,-2.378800328,"Democratic Republic of Congo"
"COD",2011,1,-2.349249538,"Democratic Republic of Congo"
"COD",2012,1,-2.460917091,"Democratic Republic of Congo"
"COD",2013,1,-2.445316256,"Democratic Republic of Congo"
"COD",2014,1,-2.32775973,"Democratic Republic of Congo"
"COD",2015,1,-2.252767769,"Democratic Republic of Congo"
"COD",2016,1,-2.339287158,"Democratic Republic of Congo"
"COD",2017,1,-2.431054595,"Democratic Republic of Congo"
"COD",2018,1,NA,"Democratic Republic of Congo"
"COG",1995,1,-1.425005672,"Congo"
"COG",1996,1,-1.511246647,"Congo"
"COG",1997,0,-2.089212626,"Congo"
"COG",1998,0,-2.061991888,"Congo"
"COG",1999,0,-2.093998328,"Congo"
"COG",2000,0,-1.68170871,"Congo"
"COG",2001,0,-1.507133319,"Congo"
"COG",2002,1,-1.589164352,"Congo"
"COG",2003,1,-1.45909266,"Congo"
"COG",2004,1,0.056587602,"Congo"
"COG",2005,1,0.057782148,"Congo"
"COG",2006,1,0.063550095,"Congo"
"COG",2007,1,0.069614043,"Congo"
"COG",2008,1,0.069620509,"Congo"
"COG",2009,1,0.311449291,"Congo"
"COG",2010,1,0.355797764,"Congo"
"COG",2011,1,0.283816664,"Congo"
"COG",2012,1,0.035912125,"Congo"
"COG",2013,1,-0.387266356,"Congo"
"COG",2014,1,-0.843139014,"Congo"
"COG",2015,1,-1.133023537,"Congo"
"COG",2016,1,-1.24505154,"Congo"
"COG",2017,1,-1.285834248,"Congo"
"COG",2018,1,NA,"Congo"
"COM",1995,1,0.643393207,"Comoros"
"COM",1996,1,0.740072796,"Comoros"
"COM",1997,1,0.506425802,"Comoros"
"COM",1998,1,0.680842087,"Comoros"
"COM",1999,1,0.621356233,"Comoros"
"COM",2000,0,0.780754836,"Comoros"
"COM",2001,0,1.175869086,"Comoros"
"COM",2002,1,1.532438915,"Comoros"
"COM",2003,1,1.472193215,"Comoros"
"COM",2004,1,1.680748771,"Comoros"
"COM",2005,1,1.724774292,"Comoros"
"COM",2006,2,1.608654619,"Comoros"
"COM",2007,2,0.976489101,"Comoros"
"COM",2008,2,0.978805329,"Comoros"
"COM",2009,2,1.814071721,"Comoros"
"COM",2010,2,1.891326436,"Comoros"
"COM",2011,2,1.813651523,"Comoros"
"COM",2012,2,1.794043891,"Comoros"
"COM",2013,2,1.971799543,"Comoros"
"COM",2014,2,2.099944236,"Comoros"
"COM",2015,1,2.184829405,"Comoros"
"COM",2016,1,2.244160382,"Comoros"
"COM",2017,1,2.276412694,"Comoros"
"COM",2018,1,NA,"Comoros"
"DZA",1995,1,-2.365517904,"Algeria"
"DZA",1996,1,-2.3170535,"Algeria"
"DZA",1997,1,-2.352250289,"Algeria"
"DZA",1998,1,-2.215462131,"Algeria"
"DZA",1999,1,-2.216773225,"Algeria"
"DZA",2000,1,-1.944956994,"Algeria"
"DZA",2001,1,-1.880290372,"Algeria"
"DZA",2002,1,-1.855165369,"Algeria"
"DZA",2003,1,-1.849465186,"Algeria"
"DZA",2004,1,-1.566390783,"Algeria"
"DZA",2005,1,-1.447184949,"Algeria"
"DZA",2006,1,-1.352640551,"Algeria"
"DZA",2007,1,-0.698398967,"Algeria"
"DZA",2008,1,-0.240228755,"Algeria"
"DZA",2009,1,0.018157761,"Algeria"
"DZA",2010,1,-0.01621064,"Algeria"
"DZA",2011,1,0.014225512,"Algeria"
"DZA",2012,1,0.244348646,"Algeria"
"DZA",2013,1,0.236008008,"Algeria"
"DZA",2014,1,0.205283358,"Algeria"
"DZA",2015,1,0.221586741,"Algeria"
"DZA",2016,1,0.266477564,"Algeria"
"DZA",2017,1,0.354196847,"Algeria"
"DZA",2018,1,NA,"Algeria"
"EGY",1995,1,-1.369923163,"Egypt"
"EGY",1996,1,-1.30156596,"Egypt"
"EGY",1997,1,-1.24359347,"Egypt"
"EGY",1998,1,-0.999191611,"Egypt"
"EGY",1999,1,-0.96030528,"Egypt"
"EGY",2000,1,-0.93438031,"Egypt"
"EGY",2001,1,-1.044073368,"Egypt"
"EGY",2002,1,-1.131765021,"Egypt"
"EGY",2003,1,-1.159234524,"Egypt"
"EGY",2004,1,-1.171152135,"Egypt"
"EGY",2005,1,-1.17919695,"Egypt"
"EGY",2006,1,-1.148808397,"Egypt"
"EGY",2007,1,-1.030254294,"Egypt"
"EGY",2008,1,-1.035830877,"Egypt"
"EGY",2009,1,-1.088733099,"Egypt"
"EGY",2010,1,-1.210441915,"Egypt"
"EGY",2011,1,-1.34041904,"Egypt"
"EGY",2012,1,-1.274246455,"Egypt"
"EGY",2013,0,-1.521735635,"Egypt"
"EGY",2014,1,-1.578869953,"Egypt"
"EGY",2015,1,-1.521920384,"Egypt"
"EGY",2016,1,-1.502632878,"Egypt"
"EGY",2017,1,-1.536419686,"Egypt"
"EGY",2018,1,NA,"Egypt"
"ERI",1995,0,0.747002453,"Eritrea"
"ERI",1996,0,0.504477904,"Eritrea"
"ERI",1997,0,-0.017197176,"Eritrea"
"ERI",1998,0,-0.458062492,"Eritrea"
"ERI",1999,0,-0.480981493,"Eritrea"
"ERI",2000,0,-0.33020907,"Eritrea"
"ERI",2001,0,-0.359853746,"Eritrea"
"ERI",2002,0,-0.331077478,"Eritrea"
"ERI",2003,0,-0.579080984,"Eritrea"
"ERI",2004,0,-0.764129344,"Eritrea"
"ERI",2005,0,-0.925062507,"Eritrea"
"ERI",2006,0,-1.227626038,"Eritrea"
"ERI",2007,0,-1.325720444,"Eritrea"
"ERI",2008,0,-1.393611285,"Eritrea"
"ERI",2009,0,-1.449644844,"Eritrea"
"ERI",2010,0,-1.557966643,"Eritrea"
"ERI",2011,0,-1.623105482,"Eritrea"
"ERI",2012,0,-1.677666059,"Eritrea"
"ERI",2013,0,-1.719677782,"Eritrea"
"ERI",2014,0,-1.747659478,"Eritrea"
"ERI",2015,0,-1.842288184,"Eritrea"
"ERI",2016,0,-1.857790261,"Eritrea"
"ERI",2017,0,-1.9641295,"Eritrea"
"ERI",2018,0,NA,"Eritrea"
"ETH",1995,1,-1.35527754,"Ethiopia"
"ETH",1996,1,-1.201957883,"Ethiopia"
"ETH",1997,1,-1.1625372,"Ethiopia"
"ETH",1998,1,-1.221642845,"Ethiopia"
"ETH",1999,1,-1.30038655,"Ethiopia"
"ETH",2000,1,-1.282541611,"Ethiopia"
"ETH",2001,1,-1.312202757,"Ethiopia"
"ETH",2002,1,-1.553135136,"Ethiopia"
"ETH",2003,1,-1.65196096,"Ethiopia"
"ETH",2004,1,-1.674171276,"Ethiopia"
"ETH",2005,1,-1.633540202,"Ethiopia"
"ETH",2006,1,-1.557399351,"Ethiopia"
"ETH",2007,1,-1.518883119,"Ethiopia"
"ETH",2008,1,-1.319085398,"Ethiopia"
"ETH",2009,1,-1.149183926,"Ethiopia"
"ETH",2010,1,-1.106596425,"Ethiopia"
"ETH",2011,1,-1.077976838,"Ethiopia"
"ETH",2012,1,-1.094243603,"Ethiopia"
"ETH",2013,1,-1.063872694,"Ethiopia"
"ETH",2014,1,-1.227540968,"Ethiopia"
"ETH",2015,1,-1.454481646,"Ethiopia"
"ETH",2016,1,-1.882878972,"Ethiopia"
"ETH",2017,1,-1.950493427,"Ethiopia"
"ETH",2018,1,NA,"Ethiopia"
"GHA",1995,1,0.27656126,"Ghana"
"GHA",1996,1,0.330609922,"Ghana"
"GHA",1997,2,0.303758713,"Ghana"
"GHA",1998,2,0.306357866,"Ghana"
"GHA",1999,2,0.219841325,"Ghana"
"GHA",2000,2,0.162198474,"Ghana"
"GHA",2001,2,0.067758066,"Ghana"
"GHA",2002,2,0.074626756,"Ghana"
"GHA",2003,3,0.160417121,"Ghana"
"GHA",2004,3,0.225029968,"Ghana"
"GHA",2005,3,0.275770377,"Ghana"
"GHA",2006,3,0.222780335,"Ghana"
"GHA",2007,3,0.166582135,"Ghana"
"GHA",2008,3,0.088486653,"Ghana"
"GHA",2009,3,0.023383535,"Ghana"
"GHA",2010,3,-0.0759767,"Ghana"
"GHA",2011,3,-0.043121973,"Ghana"
"GHA",2012,3,0.128199517,"Ghana"
"GHA",2013,3,0.280421732,"Ghana"
"GHA",2014,3,0.311986541,"Ghana"
"GHA",2015,2,0.261105448,"Ghana"
"GHA",2016,2,0.242690588,"Ghana"
"GHA",2017,3,0.23130234,"Ghana"
"GHA",2018,3,NA,"Ghana"
"GIN",1995,1,-0.790372332,"Guinea"
"GIN",1996,1,-0.857558311,"Guinea"
"GIN",1997,1,-0.831499462,"Guinea"
"GIN",1998,1,-0.901019574,"Guinea"
"GIN",1999,1,-1.028282511,"Guinea"
"GIN",2000,1,-1.136057982,"Guinea"
"GIN",2001,1,-1.106179151,"Guinea"
"GIN",2002,1,-0.293282461,"Guinea"
"GIN",2003,1,0.022749077,"Guinea"
"GIN",2004,1,0.048197809,"Guinea"
"GIN",2005,1,-0.04945057,"Guinea"
"GIN",2006,1,-0.357696455,"Guinea"
"GIN",2007,1,-1.118283946,"Guinea"
"GIN",2008,1,-1.091082187,"Guinea"
"GIN",2009,0,-1.365690157,"Guinea"
"GIN",2010,1,-0.613122899,"Guinea"
"GIN",2011,1,-0.471751883,"Guinea"
"GIN",2012,1,-0.404178167,"Guinea"
"GIN",2013,1,-0.329146386,"Guinea"
"GIN",2014,1,-0.213414119,"Guinea"
"GIN",2015,1,-0.033820385,"Guinea"
"GIN",2016,1,0.105996736,"Guinea"
"GIN",2017,1,0.002368991,"Guinea"
"GIN",2018,1,NA,"Guinea"
"GMB",1995,0,0.008097666,"Gambia"
"GMB",1996,1,0.14354607,"Gambia"
"GMB",1997,1,0.26791624,"Gambia"
"GMB",1998,1,0.37938956,"Gambia"
"GMB",1999,1,0.344133306,"Gambia"
"GMB",2000,1,0.176895485,"Gambia"
"GMB",2001,1,0.221421717,"Gambia"
"GMB",2002,1,0.566437932,"Gambia"
"GMB",2003,1,0.637595562,"Gambia"
"GMB",2004,1,0.627733833,"Gambia"
"GMB",2005,1,0.510166458,"Gambia"
"GMB",2006,1,0.104241571,"Gambia"
"GMB",2007,1,0.077042804,"Gambia"
"GMB",2008,1,0.071985998,"Gambia"
"GMB",2009,1,-0.095911213,"Gambia"
"GMB",2010,1,-0.212864128,"Gambia"
"GMB",2011,1,-0.290157337,"Gambia"
"GMB",2012,1,-0.308715837,"Gambia"
"GMB",2013,1,-0.294405371,"Gambia"
"GMB",2014,1,-0.2910516,"Gambia"
"GMB",2015,1,-0.262106123,"Gambia"
"GMB",2016,1,0.09706666,"Gambia"
"GMB",2017,1,0.641877161,"Gambia"
"GMB",2018,2,NA,"Gambia"
"IRN",1995,1,-1.76878758,"Iran"
"IRN",1996,1,-1.682358962,"Iran"
"IRN",1997,1,-1.740071362,"Iran"
"IRN",1998,1,-1.725431251,"Iran"
"IRN",1999,1,-1.796995408,"Iran"
"IRN",2000,1,-1.710021882,"Iran"
"IRN",2001,1,-1.616776562,"Iran"
"IRN",2002,1,-1.609666702,"Iran"
"IRN",2003,1,-1.510297791,"Iran"
"IRN",2004,1,-1.606485745,"Iran"
"IRN",2005,1,-1.719362492,"Iran"
"IRN",2006,1,-1.826564451,"Iran"
"IRN",2007,1,-1.863074615,"Iran"
"IRN",2008,1,-1.885567215,"Iran"
"IRN",2009,1,-1.873454307,"Iran"
"IRN",2010,1,-1.819049037,"Iran"
"IRN",2011,1,-1.641229964,"Iran"
"IRN",2012,1,-1.480296191,"Iran"
"IRN",2013,1,-1.300628333,"Iran"
"IRN",2014,1,-1.217485638,"Iran"
"IRN",2015,1,-1.27363114,"Iran"
"IRN",2016,1,-1.352054707,"Iran"
"IRN",2017,1,-1.377935842,"Iran"
"IRN",2018,1,NA,"Iran"
"IRQ",1995,1,-2.597435952,"Iraq"
"IRQ",1996,1,-2.652197107,"Iraq"
"IRQ",1997,1,-2.635668708,"Iraq"
"IRQ",1998,1,-2.622283106,"Iraq"
"IRQ",1999,1,-2.620766803,"Iraq"
"IRQ",2000,0,-2.561878592,"Iraq"
"IRQ",2001,0,-2.492652394,"Iraq"
"IRQ",2002,0,-2.506275064,"Iraq"
"IRQ",2003,0,-2.54562058,"Iraq"
"IRQ",2004,0,-2.545397357,"Iraq"
"IRQ",2005,1,-2.577406724,"Iraq"
"IRQ",2006,1,-2.56832515,"Iraq"
"IRQ",2007,2,-2.50853171,"Iraq"
"IRQ",2008,2,-2.293718081,"Iraq"
"IRQ",2009,2,-1.953819683,"Iraq"
"IRQ",2010,1,-1.848586901,"Iraq"
"IRQ",2011,1,-1.805079614,"Iraq"
"IRQ",2012,1,-1.979585103,"Iraq"
"IRQ",2013,1,-2.257142578,"Iraq"
"IRQ",2014,1,-2.396167843,"Iraq"
"IRQ",2015,1,-2.483297524,"Iraq"
"IRQ",2016,1,-2.485334707,"Iraq"
"IRQ",2017,1,-2.388372091,"Iraq"
"IRQ",2018,1,NA,"Iraq"
"ISR",1995,3,-1.173602582,"Israel"
"ISR",1996,3,-1.276627622,"Israel"
"ISR",1997,3,-1.303308348,"Israel"
"ISR",1998,3,-1.363302623,"Israel"
"ISR",1999,3,-1.440524132,"Israel"
"ISR",2000,3,-1.563167166,"Israel"
