"Code","Year","Terrorism..percent.","Terrorism.fatalities..GTD..2018.","Entity"
"CIV",1995,0.021461917,40,"Cote d'Ivoire"
"CIV",1996,0.002592033,5,"Cote d'Ivoire"
"CIV",1997,0,0,"Cote d'Ivoire"
"CIV",2000,0.001897433,4,"Cote d'Ivoire"
"CIV",2001,0.005617823,12,"Cote d'Ivoire"
"CIV",2002,0.001384307,3,"Cote d'Ivoire"
"CIV",2004,0.005468821,12,"Cote d'Ivoire"
"CIV",2005,0.018733275,41,"Cote d'Ivoire"
"CIV",2006,0.009211791,20,"Cote d'Ivoire"
"CIV",2007,0,0,"Cote d'Ivoire"
"CIV",2010,0.004768671,10,"Cote d'Ivoire"
"CIV",2011,0.011075312,23,"Cote d'Ivoire"
"CIV",2012,0.022219819,45,"Cote d'Ivoire"
"CIV",2013,0.002010412,4,"Cote d'Ivoire"
"CIV",2014,0.002035389,4,"Cote d'Ivoire"
"CIV",2015,0.007272072,14,"Cote d'Ivoire"
"CIV",2016,0.011661993,22,"Cote d'Ivoire"
"CIV",2017,0.001621016,3,"Cote d'Ivoire"
"CMR",1995,0.003517958,5,"Cameroon"
"CMR",1998,0,0,"Cameroon"
"CMR",2007,0.014878187,31,"Cameroon"
"CMR",2008,0.001435376,3,"Cameroon"
"CMR",2009,0,0,"Cameroon"
"CMR",2010,0.002405716,5,"Cameroon"
"CMR",2011,0.001935162,4,"Cameroon"
"CMR",2013,0.003467198,7,"Cameroon"
"CMR",2014,0.39214448,789,"Cameroon"
"CMR",2015,0.468029011,931,"Cameroon"
"CMR",2016,0.138077416,269,"Cameroon"
"CMR",2017,0.119237478,228,"Cameroon"
"COD",1997,0.001226476,8,"Democratic Republic of Congo"
"COD",1998,0.01047857,67,"Democratic Republic of Congo"
"COD",1999,0.001081022,7,"Democratic Republic of Congo"
"COD",2000,0.006127456,40,"Democratic Republic of Congo"
"COD",2001,0.002263851,15,"Democratic Republic of Congo"
"COD",2002,0.002359993,16,"Democratic Republic of Congo"
"COD",2003,0.02249453,154,"Democratic Republic of Congo"
"COD",2004,0.00322253,22,"Democratic Republic of Congo"
"COD",2005,0.004543746,31,"Democratic Republic of Congo"
"COD",2006,0.00333584,23,"Democratic Republic of Congo"
"COD",2007,0.010314323,72,"Democratic Republic of Congo"
"COD",2008,0.045138743,319,"Democratic Republic of Congo"
"COD",2009,0.115283496,824,"Democratic Republic of Congo"
"COD",2010,0.01675219,118,"Democratic Republic of Congo"
"COD",2011,0.007144344,50,"Democratic Republic of Congo"
"COD",2012,0.041434921,288,"Democratic Republic of Congo"
"COD",2013,0.022022998,150,"Democratic Republic of Congo"
"COD",2014,0.054768456,366,"Democratic Republic of Congo"
"COD",2015,0.056744414,371,"Democratic Republic of Congo"
"COD",2016,0.082345194,532,"Democratic Republic of Congo"
"COD",2017,0.092708811,596,"Democratic Republic of Congo"
"COG",1996,0,0,"Congo"
"COG",1997,0.0040524,2,"Congo"
"COG",1999,0.260289353,107,"Congo"
"COG",2001,0,0,"Congo"
"COG",2002,0.042450014,17,"Congo"
"COG",2003,0.027449728,11,"Congo"
"COG",2013,0.00541752,2,"Congo"
"COG",2016,0.083437424,31,"Congo"
"COM",1997,0,0,"Comoros"
"DZA",1995,0.323247958,418,"Algeria"
"DZA",1996,0.410489869,529,"Algeria"
"DZA",1997,3.176154305,4266,"Algeria"
"DZA",1998,0.706717403,952,"Algeria"
"DZA",1999,0.346743358,467,"Algeria"
"DZA",2000,0.382944988,528,"Algeria"
"DZA",2001,0.449072145,624,"Algeria"
"DZA",2002,0.439639564,615,"Algeria"
"DZA",2003,0.188006561,269,"Algeria"
"DZA",2004,0.117086614,166,"Algeria"
"DZA",2005,0.159599164,228,"Algeria"
"DZA",2006,0.127995687,185,"Algeria"
"DZA",2007,0.164294976,241,"Algeria"
"DZA",2008,0.168271769,249,"Algeria"
"DZA",2009,0.136085556,204,"Algeria"
"DZA",2010,0.072019426,109,"Algeria"
"DZA",2011,0.016285417,25,"Algeria"
"DZA",2012,0.019351602,30,"Algeria"
"DZA",2013,0.063898811,101,"Algeria"
"DZA",2014,0.022882978,37,"Algeria"
"DZA",2015,0.012771234,21,"Algeria"
"DZA",2016,0.005421075,9,"Algeria"
"DZA",2017,0.007146795,12,"Algeria"
"EGY",1995,0.033984877,134,"Egypt"
"EGY",1996,0.024970715,97,"Egypt"
"EGY",1997,0.042419874,165,"Egypt"
"EGY",1998,0.002334005,9,"Egypt"
"EGY",1999,0.000259236,1,"Egypt"
"EGY",2004,0.008881973,37,"Egypt"
"EGY",2005,0.021879483,92,"Egypt"
"EGY",2006,0.004435197,19,"Egypt"
"EGY",2008,0,0,"Egypt"
"EGY",2009,0.000222696,1,"Egypt"
"EGY",2010,0,0,"Egypt"
"EGY",2011,0.006080504,28,"Egypt"
"EGY",2012,0.009461413,44,"Egypt"
"EGY",2013,0.05244442,243,"Egypt"
"EGY",2014,0.073615935,343,"Egypt"
"EGY",2015,0.170035976,829,"Egypt"
"EGY",2016,0.124103994,609,"Egypt"
"EGY",2017,0.175574071,877,"Egypt"
"ERI",1995,0,0,"Eritrea"
"ERI",1996,0.013952625,6,"Eritrea"
"ERI",2007,0,0,"Eritrea"
"ERI",2008,0.008731787,4,"Eritrea"
"ERI",2009,0.004397078,2,"Eritrea"
"ERI",2010,0.037455713,17,"Eritrea"
"ERI",2011,0.037957169,17,"Eritrea"
"ETH",1995,0.000548909,5,"Ethiopia"
"ETH",1996,0.014594745,133,"Ethiopia"
"ETH",1997,0.000879841,8,"Ethiopia"
"ETH",1999,0.000212695,2,"Ethiopia"
"ETH",2000,0.000319876,3,"Ethiopia"
"ETH",2002,0.000118304,1,"Ethiopia"
"ETH",2003,0.000241687,2,"Ethiopia"
"ETH",2004,0.000124473,1,"Ethiopia"
"ETH",2005,0.001160401,9,"Ethiopia"
"ETH",2006,0.001603224,12,"Ethiopia"
"ETH",2007,0.028493672,204,"Ethiopia"
"ETH",2008,0.003940875,27,"Ethiopia"
"ETH",2009,0.00197501,13,"Ethiopia"
"ETH",2010,0.00126705,8,"Ethiopia"
"ETH",2011,0.000329,2,"Ethiopia"
"ETH",2012,0.004245407,25,"Ethiopia"
"ETH",2013,0.002962481,17,"Ethiopia"
"ETH",2014,0.001603857,9,"Ethiopia"
"ETH",2015,0.008700124,48,"Ethiopia"
"ETH",2016,0.051297739,279,"Ethiopia"
"ETH",2017,0.012476955,67,"Ethiopia"
"GHA",1995,0.001259804,2,"Ghana"
"GHA",1996,0.001839631,3,"Ghana"
"GHA",1997,0.000589782,1,"Ghana"
"GHA",2014,0,0,"Ghana"
"GHA",2016,0,0,"Ghana"
"GIN",1996,0.001691338,2,"Guinea"
"GIN",2000,0.169854166,206,"Guinea"
"GIN",2005,0,0,"Guinea"
"GIN",2013,0,0,"Guinea"
"GIN",2015,0.00088345,1,"Guinea"
"GIN",2016,0.000909535,1,"Guinea"
"GMB",1995,0,0,"Gambia"
"GMB",2000,0,0,"Gambia"
"IRN",1995,0,0,"Iran"
"IRN",1996,0.001138599,3,"Iran"
"IRN",1998,0.002239799,6,"Iran"
"IRN",1999,0.001470689,4,"Iran"
"IRN",2000,0.00180662,5,"Iran"
"IRN",2001,0,0,"Iran"
"IRN",2003,0,0,"Iran"
"IRN",2005,0.004156352,13,"Iran"
"IRN",2006,0.014960886,48,"Iran"
"IRN",2007,0.007305249,24,"Iran"
"IRN",2008,0.007722541,26,"Iran"
"IRN",2009,0.028076963,97,"Iran"
"IRN",2010,0.032512514,115,"Iran"
"IRN",2011,0.005006861,18,"Iran"
"IRN",2012,0.003296837,12,"Iran"
"IRN",2013,0.010557135,39,"Iran"
"IRN",2014,0.003475222,13,"Iran"
"IRN",2015,0.010034562,38,"Iran"
"IRN",2016,0.003175546,12,"Iran"
"IRN",2017,0.010262988,39,"Iran"
"IRQ",1995,0.110354474,156,"Iraq"
"IRQ",1996,0.007583106,11,"Iraq"
"IRQ",1997,0.070753909,106,"Iraq"
"IRQ",1998,0.012911082,19,"Iraq"
"IRQ",1999,0.021772092,32,"Iraq"
"IRQ",2000,0.006658824,10,"Iraq"
"IRQ",2001,0.006157968,9,"Iraq"
"IRQ",2002,0.006674167,10,"Iraq"
"IRQ",2003,0.262761759,391,"Iraq"
"IRQ",2004,1.465937097,2171,"Iraq"
"IRQ",2005,2.287534104,3384,"Iraq"
"IRQ",2006,2.854605381,4616,"Iraq"
"IRQ",2007,4.164826792,6667,"Iraq"
"IRQ",2008,2.037375214,2864,"Iraq"
"IRQ",2009,1.914460059,2585,"Iraq"
"IRQ",2010,1.549769475,2074,"Iraq"
"IRQ",2011,1.434004619,1870,"Iraq"
"IRQ",2012,2.072284402,2686,"Iraq"
"IRQ",2013,5.059575393,7041,"Iraq"
"IRQ",2014,9.090525035,13965,"Iraq"
"IRQ",2015,6.206190039,8885,"Iraq"
"IRQ",2016,8.416036796,12207,"Iraq"
"IRQ",2017,4.255552385,6476,"Iraq"
"ISR",1995,0.051380959,18,"Israel"
"ISR",1996,0.206148677,73,"Israel"
"ISR",1997,0.086165346,31,"Israel"
"ISR",1998,0.051458109,19,"Israel"
"ISR",1999,0.016141487,6,"Israel"
"ISR",2000,0.029101747,11,"Israel"
"ISR",2001,0.371693573,141,"Israel"
"ISR",2002,0.859310526,337,"Israel"
"ISR",2003,0.403402026,156,"Israel"
"ISR",2004,0.153426627,59,"Israel"
"ISR",2005,0.115113345,45,"Israel"
"ISR",2006,0.14402641,57,"Israel"
"ISR",2007,0.04245144,17,"Israel"
"ISR",2008,0.084911477,34,"Israel"
"ISR",2009,0.002509039,1,"Israel"
"ISR",2010,0.010053264,4,"Israel"
"ISR",2011,0.051068416,21,"Israel"
"ISR",2012,0.03367204,14,"Israel"
"ISR",2013,0.004737615,2,"Israel"
"ISR",2014,0.110496885,49,"Israel"
"ISR",2015,0.045232613,20,"Israel"
"ISR",2016,0.035891388,16,"Israel"
"ISR",2017,0.006567851,3,"Israel"
"KEN",1995,0.000808826,2,"Kenya"
"KEN",1996,0.000764127,2,"Kenya"
"KEN",1997,0.012982011,36,"Kenya"
"KEN",1998,0.077402645,226,"Kenya"
"KEN",2000,0.008360098,26,"Kenya"
"KEN",2001,0.004084903,13,"Kenya"
"KEN",2002,0.004927421,16,"Kenya"
"KEN",2003,0.000909216,3,"Kenya"
"KEN",2005,0.016831155,56,"Kenya"
"KEN",2006,0.005440935,18,"Kenya"
"KEN",2007,0.010096648,33,"Kenya"
"KEN",2008,0.032061725,103,"Kenya"
"KEN",2009,0,0,"Kenya"
"KEN",2010,0.006186831,19,"Kenya"
"KEN",2011,0.013991042,42,"Kenya"
"KEN",2012,0.036117418,107,"Kenya"
"KEN",2013,0.070147334,207,"Kenya"
"KEN",2014,0.107487977,315,"Kenya"
"KEN",2015,0.09618974,281,"Kenya"
"KEN",2016,0.024828056,72,"Kenya"
"KEN",2017,0.043613811,126,"Kenya"
"LBN",1995,0.168994941,35,"Lebanon"
"LBN",1996,0.274239109,57,"Lebanon"
"LBN",1997,0.174423131,36,"Lebanon"
"LBN",1998,0.082702096,17,"Lebanon"
"LBN",1999,0.112183327,23,"Lebanon"
"LBN",2000,0.058145396,12,"Lebanon"
"LBN",2001,0,0,"Lebanon"
"LBN",2002,0.009419516,2,"Lebanon"
"LBN",2003,0.013803265,3,"Lebanon"
"LBN",2004,0.004490677,1,"Lebanon"
"LBN",2005,0.096168045,22,"Lebanon"
"LBN",2006,0.06991982,17,"Lebanon"
"LBN",2007,0.16372131,40,"Lebanon"
"LBN",2008,0.564559727,142,"Lebanon"
"LBN",2009,0.066589403,17,"Lebanon"
"LBN",2010,0.007664121,2,"Lebanon"
"LBN",2011,0.003726736,1,"Lebanon"
"LBN",2012,0.032177195,9,"Lebanon"
"LBN",2013,0.641451018,190,"Lebanon"
"LBN",2014,0.436337492,134,"Lebanon"
"LBN",2015,0.351380118,111,"Lebanon"
"LBN",2016,0.07742544,25,"Lebanon"
"LBN",2017,0.050627782,17,"Lebanon"
"LBY",1995,0,0,"Libya"
"LBY",1996,0.056437851,12,"Libya"
"LBY",2007,0,0,"Libya"
"LBY",2008,0,0,"Libya"
"LBY",2011,0,0,"Libya"
"LBY",2012,0.113941981,33,"Libya"
"LBY",2013,0.792307536,232,"Libya"
"LBY",2014,2.056938108,694,"Libya"
"LBY",2015,2.136661642,689,"Libya"
"LBY",2016,1.818360876,634,"Libya"
"LBY",2017,0.838754909,289,"Libya"
"MAR",1995,0,0,"Morocco"
"MAR",1996,0,0,"Morocco"
"MAR",2003,0.023314748,45,"Morocco"
"MAR",2007,0.00656662,13,"Morocco"
"MAR",2011,0.008250598,17,"Morocco"
"MAR",2015,0,0,"Morocco"
"MDG",1995,0.002581086,4,"Madagascar"
"MDG",1996,0.000641517,1,"Madagascar"
"MDG",1997,0,0,"Madagascar"
"MDG",2002,0,0,"Madagascar"
"MDG",2006,0,0,"Madagascar"
"MDG",2009,0.00119008,2,"Madagascar"
"MDG",2011,0,0,"Madagascar"
"MDG",2012,0,0,"Madagascar"
"MDG",2013,0,0,"Madagascar"
"MDG",2014,0.000556259,1,"Madagascar"
"MDG",2016,0.00164015,3,"Madagascar"
"MLI",1995,0.001225772,2,"Mali"
"MLI",1997,0,0,"Mali"
"MLI",2005,0,0,"Mali"
"MLI",2007,0.012224787,20,"Mali"
"MLI",2008,0.033372936,55,"Mali"
"MLI",2009,0.01804335,30,"Mali"
"MLI",2010,0.000594983,1,"Mali"
"MLI",2011,0.002943111,5,"Mali"
"MLI",2012,0.030737797,53,"Mali"
"MLI",2013,0.077415264,137,"Mali"
"MLI",2014,0.069850402,125,"Mali"
"MLI",2015,0.148090925,269,"Mali"
"MLI",2016,0.098784429,181,"Mali"
"MLI",2017,0.193834073,361,"Mali"
"NGA",1995,6.6838e-05,1,"Nigeria"
"NGA",1996,0.001550453,24,"Nigeria"
"NGA",1997,0.006797256,107,"Nigeria"
"NGA",1998,0.000556404,9,"Nigeria"
"NGA",1999,0.008052999,134,"Nigeria"
"NGA",2000,0,0,"Nigeria"
"NGA",2001,0.000173184,3,"Nigeria"
"NGA",2002,0.001594098,28,"Nigeria"
"NGA",2003,0.0015793,28,"Nigeria"
"NGA",2004,0.002307263,41,"Nigeria"
"NGA",2005,0.001076262,19,"Nigeria"
"NGA",2006,0.014425909,254,"Nigeria"
"NGA",2007,0.004683925,82,"Nigeria"
"NGA",2008,0.004159878,72,"Nigeria"
"NGA",2009,0.0184568,316,"Nigeria"
"NGA",2010,0.006896501,117,"Nigeria"
"NGA",2011,0.026628308,447,"Nigeria"
"NGA",2012,0.090837236,1508,"Nigeria"
"NGA",2013,0.123071834,2014,"Nigeria"
"NGA",2014,0.472017491,7781,"Nigeria"
"NGA",2015,0.345010691,5559,"Nigeria"
"NGA",2016,0.135858765,2165,"Nigeria"
"NGA",2017,0.114065042,1805,"Nigeria"
"SAU",1995,0.018858119,14,"Saudi Arabia"
"SAU",1996,0.025976416,19,"Saudi Arabia"
"SAU",2000,0.001405465,1,"Saudi Arabia"
"SAU",2001,0.002815722,2,"Saudi Arabia"
"SAU",2002,0.001373843,1,"Saudi Arabia"
"SAU",2003,0.074425639,55,"Saudi Arabia"
"SAU",2004,0.085793568,64,"Saudi Arabia"
"SAU",2005,0.00131519,1,"Saudi Arabia"
"SAU",2006,0.005153551,4,"Saudi Arabia"
"SAU",2007,0.003809619,3,"Saudi Arabia"
"SAU",2009,0.006072147,5,"Saudi Arabia"
"SAU",2011,0.003527673,3,"Saudi Arabia"
"SAU",2012,0.004658234,4,"Saudi Arabia"
"SAU",2013,0.00115095,1,"Saudi Arabia"
"SAU",2014,0.022723889,20,"Saudi Arabia"
"SAU",2015,0.23172511,213,"Saudi Arabia"
"SAU",2016,0.175223929,162,"Saudi Arabia"
"SAU",2017,0.032773677,31,"Saudi Arabia"
"SEN",1995,0.019545217,18,"Senegal"
"SEN",1997,0.0981405,92,"Senegal"
"SEN",1998,0.004232047,4,"Senegal"
"SEN",1999,0.00105525,1,"Senegal"
"SEN",2000,0.004249758,4,"Senegal"
"SEN",2001,0.029836518,28,"Senegal"
"SEN",2002,0.008477438,8,"Senegal"
"SEN",2005,0,0,"Senegal"
"SEN",2007,0.001120606,1,"Senegal"
"SEN",2008,0.011340759,10,"Senegal"
"SEN",2009,0.010288139,9,"Senegal"
"SEN",2010,0.003438649,3,"Senegal"
"SEN",2011,0.024134238,21,"Senegal"
"SEN",2012,0.01843427,16,"Senegal"
"SEN",2013,0.008087718,7,"Senegal"
"SEN",2014,0.008087141,7,"Senegal"
"SEN",2015,0,0,"Senegal"
"SOM",1995,0.022698898,29,"Somalia"
"SOM",1996,0.021363436,28,"Somalia"
"SOM",1997,0.107189526,145,"Somalia"
"SOM",1998,0,0,"Somalia"
"SOM",1999,0.006583848,9,"Somalia"
"SOM",2000,0.026114626,36,"Somalia"
"SOM",2001,0.0021617,3,"Somalia"
"SOM",2002,0.004289676,6,"Somalia"
"SOM",2003,0.004990775,7,"Somalia"
"SOM",2004,0.001416616,2,"Somalia"
"SOM",2005,0.014360373,20,"Somalia"
"SOM",2006,0.015806028,22,"Somalia"
"SOM",2007,0.286986109,408,"Somalia"
"SOM",2008,0.309316767,436,"Somalia"
"SOM",2009,0.270654146,381,"Somalia"
"SOM",2010,0.194560106,295,"Somalia"
"SOM",2011,0.227950337,344,"Somalia"
"SOM",2012,0.554004042,783,"Somalia"
"SOM",2013,0.472755267,660,"Somalia"
"SOM",2014,1.139367888,1589,"Somalia"
"SOM",2015,1.033949016,1447,"Somalia"
"SOM",2016,1.117159544,1583,"Somalia"
"SOM",2017,1.312684664,1912,"Somalia"
"SYR",1996,0.02356083,15,"Syria"
"SYR",1997,0.003134038,2,"Syria"
"SYR",1998,0,0,"Syria"
"SYR",2004,0.006930214,4,"Syria"
"SYR",2006,0.008263464,5,"Syria"
"SYR",2008,0.028001306,18,"Syria"
"SYR",2011,0.207494692,163,"Syria"
"SYR",2012,0.682620441,877,"Syria"
"SYR",2013,1.320298557,1568,"Syria"
"SYR",2014,2.310077078,3312,"Syria"
"SYR",2015,3.125243803,3924,"Syria"
"SYR",2016,2.210260707,2810,"Syria"
"SYR",2017,1.771247131,2026,"Syria"
"TUN",1995,0.014495641,7,"Tunisia"
"TUN",2000,0.009854203,5,"Tunisia"
"TUN",2001,0.005895216,3,"Tunisia"
"TUN",2002,0.04100455,21,"Tunisia"
"TUN",2007,0.0261709,14,"Tunisia"
"TUN",2008,0,0,"Tunisia"
"TUN",2011,0.006879358,4,"Tunisia"
"TUN",2012,0.006782761,4,"Tunisia"
"TUN",2013,0.041351452,25,"Tunisia"
"TUN",2014,0.069417269,43,"Tunisia"
"TUN",2015,0.16226033,103,"Tunisia"
"TUN",2016,0.109414424,71,"Tunisia"
"TUN",2017,0.00754555,5,"Tunisia"
"TUR",1995,0.050345067,189,"Turkey"
"TUR",1996,0.031736733,117,"Turkey"
"TUR",1997,0.016528149,60,"Turkey"
"TUR",1998,0.01033545,37,"Turkey"
"TUR",1999,0.034437948,127,"Turkey"
"TUR",2000,0.003576138,12,"Turkey"
"TUR",2001,0.005178162,17,"Turkey"
"TUR",2002,0,0,"Turkey"
"TUR",2003,0.020794951,67,"Turkey"
"TUR",2004,0.007851814,25,"Turkey"
"TUR",2005,0.010845529,35,"Turkey"
"TUR",2006,0.014110493,46,"Turkey"
"TUR",2007,0.007628728,25,"Turkey"
"TUR",2008,0.012637824,42,"Turkey"
"TUR",2009,0.005143919,18,"Turkey"
"TUR",2010,0.003611904,13,"Turkey"
"TUR",2011,0.006816594,25,"Turkey"
"TUR",2012,0.066075837,247,"Turkey"
"TUR",2013,0.021605291,83,"Turkey"
"TUR",2014,0.009881586,39,"Turkey"
"TUR",2015,0.123307154,490,"Turkey"
"TUR",2016,0.252149016,1006,"Turkey"
"TUR",2017,0.055183575,222,"Turkey"
"ZAF",1995,0.031827052,105,"South Africa"
"ZAF",1996,0.022177477,82,"South Africa"
"ZAF",1997,0.005475234,23,"South Africa"
"ZAF",1998,0.002818142,13,"South Africa"
"ZAF",1999,0.000792578,4,"South Africa"
"ZAF",2000,0.003171549,18,"South Africa"
"ZAF",2002,0.000156082,1,"South Africa"
"ZAF",2007,0.00013399,1,"South Africa"
"ZAF",2008,0,0,"South Africa"
"ZAF",2012,0.000836018,5,"South Africa"
"ZAF",2013,0.00035458,2,"South Africa"
"ZAF",2014,0.001673219,9,"South Africa"
"ZAF",2015,0.000949227,5,"South Africa"
"ZAF",2016,0.004090416,21,"South Africa"
"ZAF",2017,0.004417635,21,"South Africa"
